Команда,Бренд,Сезон,Тип формы,Состояние,Цена,Размер,Цвет,Особенности,Контакты,Хештеги,UUID,UUID_фотографий,Ссылка на пост,Дата публикации
Манчестер Юнайтед,Adidas,2022/23,Гостевая,5/5,8000,L,,,@rooneyform_admin,"АПЛ, L",0a6ab69c-8df2-5a1b-93ee-a2696c4dba82,"2719e375-ca9c-43be-940b-ba1d0ce1cc3e,2dc2cdb2-7255-43c4-9cc1-26158bc4d291,16a4dd72-d177-434d-b540-4856671070b0,2e53ceb8-b690-461c-b888-220544dfd91a,8a2f6293-70f2-431f-8c71-e07ad54da05d,7cecab4b-16f1-4462-8cdd-155fa6e268fa",https://t.me/rooneyform_warehouse/1047,2025-08-24 09:15:43
Ипсвич,,2003/05,Домашняя,4/5,4200,M,,,@rooneyform_admin,"Чемпионшип, M",e3fddb7e-629e-5215-a335-d2888d740366,"50da4d27-e1b6-4304-8605-124dafdb6361,3ef3a09d-a37d-46c4-acbc-fa73107ba82f,5895eda5-7909-446a-b805-24caf1bb90b8,bbe3e6cf-310d-4053-a594-c642c00f8c91,ed9d1655-2acf-4819-9da8-9715a90130b6,a174b662-6503-402e-9598-4393904370a6,66260abf-7cd0-4858-b344-77f7dee548ce,63dab39c-9097-4924-852a-710186018ba7",https://t.me/rooneyform_warehouse/1039,2025-08-23 08:38:59
Барселона,Nike,2020/21,,5/5,3300,S,,,@rooneyform_admin,"ЛаЛига, S",77badd44-ac21-50e8-a087-582a3c4172d8,"2ea11b4d-47ce-4df4-9226-3fe53211eb96,4eaac499-046a-4250-9d52-041c0beb51a7,b2907e2a-a85b-4b55-bc4e-1cfd4679f33d,e83d4248-179a-4317-84db-ed5df99c1aa2,133c643a-c45b-49f1-8a70-856582ab149d,72cb2173-ef52-4add-b2d9-fe07a03345df,809855f7-13d5-4f97-a1e2-0413e724816a",https://t.me/rooneyform_warehouse/1032,2025-08-22 12:43:46
Вольфсбург,Nike,2016/17,Третья,5/5,4500,XL,,,@rooneyform_admin,"Бундеслига, XL",7af0b943-f73c-509b-be81-428a5e987887,"eb9f6355-392a-41e7-b126-162d5982bd66,b6107a2e-c23f-4033-a180-04f91ba6b976,f9211869-ca80-43c4-82d3-31210608b56c,eb9bd33d-00bc-4a36-9623-a7716a96b296,53f16345-37a1-470b-9863-5b16e2400f3c",https://t.me/rooneyform_warehouse/1027,2025-08-20 08:10:16
Кальяри,,2022/23,Вратарская,5/5,5300,L,,,@rooneyform_admin,"СерияА, L, XL",7eb07f06-7211-54dc-b046-99ef54ff2918,"d3060092-4d92-44dd-8693-1f838bbc7574,0d5a925b-2184-4421-afe7-6af41d6c267a,973767d6-8e29-4fcd-a94a-c33c4d471b7b,c572d127-9137-486b-b85a-bd1aac9fb1c5,83cf670e-2655-4cfd-9104-4419cbc191ce,2a025906-cd41-4fbb-8507-9a4bc7c96b61,ad4642cc-3137-47c4-bd8c-f1dad83bbf7f,0eaaada9-a259-45e5-83e8-9334602cbeca,8886c10c-b7cf-4d61-9a53-d15a64ffc106,37fc34d6-c072-4692-a82e-3a4eb34d46bc",https://t.me/rooneyform_warehouse/1011,2025-08-19 15:33:17
Бавария,Adidas,2012/13,Домашняя,4/5,3500,M,,,@rooneyform_admin,"Бундеслига, M",143ba40a-fd4c-5baa-8be2-6dd1498d704b,"d3095cfb-876a-4e57-8e38-3629ab400d03,862c87cd-58f8-4d4d-999e-aaf3048d37cf,f9b9000f-7a89-4ea4-a73f-6bce15086016,d1ed66de-6be3-492a-a8b3-26674815fcdf,bbc17574-b47a-4960-bbfa-9ce0fca5de3a,ed6100b6-04a7-42a5-8079-038d3bdd7b75,a17bb59d-f5e5-4876-82d4-750839a6348e",https://t.me/rooneyform_warehouse/1004,2025-08-19 15:28:56
Палермо,Puma,2012/14,,4/5,2500,XL,,,@rooneyform_admin,"СерияА, XL",8a24eff7-fa1f-548f-bb3f-8a0eb376e9b3,"4a6c9b23-3bcf-409e-8527-dc13e4f8028a,f8fa9e6b-b829-4cb0-befe-c92cba0ba27c,d82ec279-c4bb-4994-a817-c358855af849,3e782c2b-1f83-488a-9121-60fa91745b57,82244d12-4106-462b-93b3-e303d63698b4,b7fbce39-8cf5-437f-b983-ed057fd029c8",https://t.me/rooneyform_warehouse/998,2025-08-19 15:28:21
Базель,Nike,2009/10,Домашняя,4/5,3300,L,,,@rooneyform_admin,"Мир, L",38768153-6068-5f38-b67a-84021e4a291a,"2b37682d-146a-4915-b215-7a864e2d46be,1c4da724-40f9-4365-be91-ffc3db875fb1,537e17c7-2a7e-4474-911f-6cc15ab6e0a8,fa1f7bdf-e660-4421-9ee9-c6a6c6b0a239,198e142b-6885-476d-a693-b3f1b23a0cdf,f1cb2d8d-2a85-487a-a537-19c220737814,e00f9e0b-e73b-48e9-9a6e-883bdaf64dde",https://t.me/rooneyform_warehouse/991,2025-08-19 15:27:25
Фиорентина,,2005/07,Домашняя,4/5,10000,L,,,@rooneyform_admin,"СерияА, M",86da4625-5e29-5507-b472-f6126fa18e98,"174fc2f6-541b-4986-8f11-1c2b4a594127,8e150e33-c594-4006-ab73-c25e3146351c,342cd4e3-a0e5-4297-a606-e6efbd1005f5,c31faad4-c545-4473-bad3-8ff7753cc188,5467d9f7-3d66-4aec-86c0-2571c74014fa,a7162194-8b07-43cf-a494-7b0b63e0d295,8e86e650-4bc7-48a7-a2db-1bed57f7d8af",https://t.me/rooneyform_warehouse/984,2025-08-19 15:26:30
,Nike,,Домашняя,5/5,6500,XL,,,@rooneyform_admin,"Сборные, XL",42b7e04c-c0b7-5ad8-8a8a-4f55abf69abd,"926950c3-aec6-4373-a6dc-9dd0b2e97456,c5c8f413-29df-4d70-aaed-393e1b638874,d8c67874-c3e1-4321-bd17-40de70f988c4,3f78fd43-49ae-4fb2-b30b-eed114545c52,bffed750-f62f-4ce7-b733-6e297b5a4056,44222217-f8ff-4a1d-964f-cc0e843a49f1,13fffad7-8269-4483-8e7a-cb765cd083da",https://t.me/rooneyform_warehouse/977,2025-08-19 15:25:59
Спартак,Nike,2018/19,Домашняя,5/5,3700,M,,,@rooneyform_admin,"РПЛ, M",6d412b6e-e290-56da-8275-1caed363a018,"d335c010-a6ca-4ba7-8475-64eaf44e7f2d,8287b955-9546-42a6-ae96-9beb8e6f1d0a,125045a8-d3ad-450f-a2f1-ac0c913efb57,591c8f4a-fe03-4873-8895-d7f366ce1549,a91ad26a-3e70-473f-b014-e57fb962620e,b3ff8566-0252-48f8-9744-ce94838f0b46,6fee23dc-bcf9-4266-949a-fc46aaf7c7d7",https://t.me/rooneyform_warehouse/970,2025-08-19 15:17:03
Вольфсбург,Nike,2016/17,Гостевая,5/5,4300,L,,,@rooneyform_admin,"Бундеслига, L",9ea96d3b-dba9-5403-999d-0be0ff4497c4,"90a41ba2-0109-4363-8d46-57e1d466021b,ac02d3fc-4874-41b6-a08b-ae4ded0b3ecf,23988d09-0bc6-4052-82c5-af618fd59f76,2ea47b9b-949e-47b4-94d8-7d131c1fcaa4,51e29748-5488-4d69-a58a-cd7bb4437403,df72aed0-24bf-4a35-a999-a985688676dc",https://t.me/rooneyform_warehouse/964,2025-08-19 15:12:19
Кристал Пэлас,Puma,2020/21,Третья,5/5,4500,XL,,,@rooneyform_admin,"АПЛ, XL",394ca1a8-81e3-5c85-888b-140075ca29d5,"b9f31286-8852-45e5-acc6-191c69fb7593,f00d80f1-bd57-4be6-9de2-656aa98a90f2,004de485-c93a-4f68-8ca7-036c4d073c06,adc5c862-10de-4d8d-b331-c87489eb248a,dd1d984e-fbfc-48b3-acc5-7020b82edac8",https://t.me/rooneyform_warehouse/959,2025-08-19 15:11:27
Манчестер Юнайтед,Adidas,2022/23,Домашняя,5/5,5000,XL,,,@rooneyform_admin,"АПЛ, XL",4943b4e7-9ce0-59b7-a6ef-e447cb57edd5,"83e61316-2dd4-4cf4-9f30-c1e63d540e73,443a4d21-8f50-43d4-bd30-5d95d90ccd67,ced67b1a-db96-4795-8f81-f6c6075be2c8,40b16456-45f7-4086-bf39-6f6775cb285a,33a6da40-e958-4ac6-86ca-94f32b3179b4,2125afb9-ad53-42e2-9167-5c15ff6f0d1d,ccfcb5c1-523e-4110-b7e1-0d879a5286f2,65a1d0af-8315-4c18-9dbc-92bb39545e0c",https://t.me/rooneyform_warehouse/951,2025-08-19 15:08:01
Астон Вилла,Kappa,2021/22,Гостевая,5/5,3400,S,,,@rooneyform_admin,"АПЛ, S",2780f741-2e65-572e-8a51-9a9c5b1dbc81,"98656b9b-7992-44f1-82c8-a6cf64eb2119,dcf3976d-386f-45f5-af30-ac7c71a66b7e,74c2d692-8bae-4998-a45c-ce64298811b2,502c7df7-3fa4-4dd2-bb1e-159176eed3fb,149d2d6e-b95d-4565-90dc-df5df285e51b,f7c599a9-1c9b-4b8f-81e2-d36f91bf3a07,fe6d89eb-5618-4888-8d56-f274012103dd,a8360c3f-0553-4ef9-977a-78a40063cb4e",https://t.me/rooneyform_warehouse/943,2025-08-19 15:06:38
Ювентус,Nike,2012/13,Домашняя,4,2900,S,,,@rooneyform_admin,"СерияА, S",9f21c533-c2d1-58bb-8215-92960517a1bd,"e25ee7c8-952f-41d4-8b27-7d6ed37df9ba,c9b64b66-b195-45b2-b13b-cba375055fa7,e039704f-415a-4b6e-a1f8-2e0bd80c6f0d,c4736b08-2006-484b-8d4c-a2ab5336dad7,7fe10d7d-880c-4037-ac71-b1c7e78b4bc1,623b9155-8a3c-4824-bf09-6388302574b7,d8be8883-2206-4a32-8380-0552247f7a88,9caa7244-3674-484d-b787-f7b2662b5a7c,92f5d6f6-52d9-42fe-b54b-6b13bf02a62a",https://t.me/rooneyform_warehouse/934,2025-08-19 15:05:41
Валенсия,Adidas,2015/16,Гостевая,5/5,4500,L,,,@rooneyform_admin,"ЛаЛига, L",8a1ae2ef-f077-51f5-959d-5c672a188363,"c3915a7f-5814-44e2-9f6b-eb5b9c5b6d1c,96675b0b-43f6-4cff-b717-ecb269551c37,b6d45bdd-1d4d-4590-9d69-e90310b33943,1db4cb5d-7b61-4d2d-89fe-d6640337fecc,61ab5ad0-dead-4765-af98-de1e11009054,96499d8c-058b-4737-a2fa-1fad41f93592,50cb3069-ba79-400e-af55-c0bd9c4f6e90",https://t.me/rooneyform_warehouse/927,2025-08-19 15:04:32
Севилья,Nike,2019/20,Гостевая,5/5,4500,XL,,,@rooneyform_admin,"ЛаЛига, XL",afc2bcc8-b188-59d1-8b65-797a2bbab239,"8a76cba9-94a8-4d96-8a11-f0d247d9870f,00e8a824-6ce6-4b45-8101-7ad8936357a1,2c3b3a89-877a-4b4c-802d-738122a33996,1abcde11-094f-4409-a0be-6dbee7059314,2ddf0773-8285-4b46-85c7-5ee516844e3c,177a8573-376a-4be5-b602-60a733afe328",https://t.me/rooneyform_warehouse/921,2025-08-19 15:03:46
Аякс,Adidas,2022/23,Гостевая,5/5,3500,XL,,,@rooneyform_admin,"Эредивизе, XL",26638ed3-b825-5c54-a0cc-e0c32387157d,"db7d2408-0016-4031-a9f5-ea5300ad23e9,43bc09ed-9e4b-436f-a70d-4e92042465d0,64cec5ad-fd2b-4059-a8f0-864982a0a251,a1f45124-c01d-4220-9cd6-1f8ef756cbbe,a70fb944-95dc-4b6c-9042-b55b2983738c,94cb114a-9be2-424b-9080-2a8b252e1d7d",https://t.me/rooneyform_warehouse/915,2025-08-19 15:03:00
